Name,Description,Average Score,Number of Reviews
The Strange,"Publisher Blurb: Beneath the orbits and atoms of our natural universe lies a network of dark energy. Those who have learned to access and navigate this chaotic sea have discovered an almost endless set of ""recursions"" in the shoals of our Earth: Worlds with their own laws of reality, reflected from human experience or imagination, given form in the swirling Chaosphere of the Strange. Worlds teeming with life, with discovery, with incredible treasures, and with sudden death. Worlds sometimes jealous of our own. The secret plunder of these worlds draws the brave, the daring, and the unscrupulous - and it draws dangerous enemies from these recursions back to our Earth. And slowly but inexorably, it draws the attention of beings from beyond Earth's shoals - beings of unfathomable power and evil from the unknown reaches of... the Strange",7.86486,37
InSpectres,"Fighting the Forces of Darkness so you don't have to. InSpectres is a game about the burgeoning supernatural investigation and elimination market. Start a company and try to stay afloat long enough to cash in those sweet, sweet stock options. * Create and manage your own InSpectres franchise - can you keep it afloat? * Innovative mechanics make this investigation game actually fun to play * Influence the game using ""The Confessional"" - a first in RPG history! * Rules for ""weird agents"" - play a vampire, zombie, werewolf and more!",7.57355,138
Dungeons & Dragons Expert Set,"The first version of the D&D Expert Set. It contains: 64-page Rulebook X1: The Isle of Dread Six uncolored dice and a dice crayon From the back of the box: ""STOP! READ THIS BEFORE PURCHASE. THIS PRODUCT DOES NOT STAND ALONE. IT HAS BEEN DESIGNED TO BE USED WITH THE DUNGEONS AND DRAGONS BASIC RULEBOOK. IT CANNOT BE USED BY ITSELF! IF YOU DO NOT OWN THE DUNGEONS AND DRAGONS BASIC RULEBOOK YOU WILL NOT BE ABLE TO USE THIS BOOK TO PLAY THE GAME. The dragon's breath singes your cape as you dash down the narrow corridor, but miraculously you escape unharmed. A few more strides carry you out the exit of the dungeon and into the vast wilderness beyond. You hold your new prize high and the noonday sun glints off the blade of the great sword. New pinnacles of adventure and excitement await you! You are now ready for the DUNGEONS & DRAGONS Expert Set! The DUNGEONS & DRAGONS Expert Set is an expansion, and adds variety to the D&D game system. DUNGEONS & DRAGONS games, the original ""role playing"" games, can be played by anyone with imagination. The DUNGEONS & DRAGONS Expert Set comes complete with dice, a rulebook, and a special instructional module. In short, everything needed to expand a D&D game, with a minimum amount of preparation, is contained within, including over 100 new monsters. The rule booklet is easy to read and understand, and the rules have been organized into eight modular sections that can easily be integrated with the D&D Basic rules.""",7.97881,151
The Character Compendium,"An unofficial supplement for Warhammer Fantasy Roleplay, second edition. This volume provides information on characters and careers. It can be downloaded from the Liber Fanatica website: http://www.liberfanatica.net Contents (taken from the Liber Fanatica website): Ten Questions – Expanded (Jude Hornborg) Additional questions for helping players establish links between background events and character behaviour Character Backgrounds (Wim van Gruisen) A series of tables for determining random careers, skills and talents based on the character's regional or racial origins Character Motivations (Henrik Grönberg) Identifies some of the core ambitions and motivations that breathe life into a character, along with roleplaying hints for each Career Guidance (Wim van Gruisen) Discusses the relationship between career changes and campaign narratives Psychotic Careers (Wim van Gruisen) Roleplaying suggestions for Slayers, Flagellants and Zealots The Lost Careers (Wim van Gruisen) Conversions of the first edition careers that were omitted from second edition, along with their associated geographical backgrounds Converting Characters from WFRP1 (Wim van Gruisen) Complete rules for converting characters from first edition to second edition",8.09375,16
The Elves of Alfheim,"""This is the first Gazetteer to outline a non-human culture: that of the Elves. Herein DMs and players alike will find information on elven society, politics, economics, and culture. Fascinating, first-hand details on the fabulous tree-cities are at last available to adventurers. The pageant of elven life hinted at in such previous TSR products as CM7, The Tree of Life, is now revealed in its entirety. For players of elven characters, this is an invaluable resource. Portions of the elven way of life that were cloudy until recently are outlined here in crystal clarity. The same material will be of aid to the DM who uses Alfheim in his or her campaign. The Elves of Alfheim is sure to become a staple of any D&D game campaign.""",7.24878,41
The Inner Sea World Guide,"From the back of the book: The Best of All Possible Worlds Discover the world of Golarion, the official campaign setting for the smash-hit Pathfinder Roleplaying Game! A time of lost prophecies grips the world, bringing with it an unending maelstrom, a tear in the fabric of reality, a surge of diabolism, and the endless threat of war. Yet all is not lost, for these dark times provide ample opportunity for adventure and heroism. Inside this exciting and informative tome you will find: Detailed summaries of the player character races native to Golarion, including more than a dozen distinct human ethnicities. Elaborate gazetteers of more than 40 crumbling empires, expansionist kingdoms, independent city-states, and monster-haunted wildlands of Golarion’s adventure-filled Inner Sea region, with locations perfect for nearly any type of fantasy campaign. Cultural information and Pathfinder RPG rules covering the 20 core deities of the Inner Sea, plus entries on other gods, demigods, forgotten deities, weird cults, strange philosophies, and more! An overview of the Inner Sea’s history, a look at time and space, a discussion of magical artifacts and technological wonders, discussions of important factions and organizations, and hundreds of locations ripe for adventure! Tons of new options for player characters, including Inner Sea-themed prestige classes, feats, spells, adventuring gear, and magic items! Nine new monsters, including exotic humanoids of the skies and seas, undead and dragons, and an angry demon lord in exile! A giant poster map that reveals the sweeping landscape of the Inner Sea in all its treacherous glory!",8.05833,114
Fudge,"From the website: Fudge is a word-based roleplaying game customizable (by design) to fit any genre or play style. The 10th Anniversary Edition includes everything from the core Fudge rules, plus a whole lot more! We collected together extensive lists of character traits for character creation, alternative rules (including a vehicle design system, dogfighting, cybernetics, netrunning, superheroes, and advice on running Fudge) and a whole lot more! Requirements: Fudge is recommended for experienced gamemasters but is easy enough for first-time roleplayers and flexible enough for experienced gamers. Support: Fudge dice are not required but are recommended. Gamemastering Secrets presents a lot of advice for gamemasters of any system. Terra Incognita is a complete Fudge game set in the Victorian/Pulp genre. A Magical Medley offers six different magic systems and a whole lot more. Another Fine Mess serves as a great stand-alone adventure and as a good introduction to Fudge (with “All the Rules You Need to Know”). There are several other publishers also using the Fudge system in their products. This makes for a diverse range of Fudge games (including Now Playing! from Carnivore Games and The Collectors from Rogue Publishing). Selling Points: Easy to play (the word-based system and simple game mechanic to resolve actions let you concentrate on the story rather than the rules) Skill-driven (choose broadly defined skill groups or detailed individual skills – or anything in between) Flexible (play any style from gritty realism to legendary heroics and create any character in any genre – even bunnies!) Customizable: Choose your own attributes, gifts, faults, and skills Play “subjectively” (just “fudging” it) or “objectively” Use the rules you like best, they’re all optional Choose your favorite dice techniques, or play diceless Incorporate any of the many available optional rules, techniques, and add-ons (including magic systems and the like) – or create your own!",7.55844,77
Wizard's Spell Compendium (Volume One),"From the back cover of the second printing: The Wizard's Spell Compendium is a four-volume series describing every wizard spell for the AD&D® game. Spells have been collected from rule books, campaign settings, supplements, adventures, and magazines dating back to 1975. Early entries have been updated to be immediately usable, making this the player's and DM's definitive source for wizard spells. User summary: This volume contains spells from A to D (A Summons One Dares Not Deny through Dweomerdoom, Khelben's).",7.94444,27
The Shamutanti Hills,"From the back cover: Leaving the once-peaceful kingdom of Analand behind, you set off courageously into the wild, lawless land of Kakhabad. Your mission is to recover the legendary Crown of Kings from the evil Archmage, who has it deep within his terrifying Fortress at Mampang. Without the guidance of the Crown, your homeland is lost... The Shamutanti Hills is Book One of Steve Jackson's four-part Sorcery! epic. In this gargantuan quest, you must journey from the Shamutanti Hills (Book One), through the dangerous streets of Kharé (Book Two), across the wilderness of the Baklands (Book Three) and finally (Book Four) to the terrifying Mampang Fortress itself. Sorcery! introduces an exciting new system of magic to the Fighting Fantasy genre. Choose whether to play as either a sword-wielding warrior, relying on your strength in battle, or a spell-casting wizard, whose survival will depend on your knowledge of the Sorcery! Spell Book's darkest secrets. Each book in the Sorcery! series is a complete adventure; you don't need to have read a previous book to move on to the next. The four Sorcery apps are 'ported' from these gamebooks: Sorcery! <-- Sorcery! Book 1: The Shamutanti Hills Sorcery! 2 <-- Sorcery! Book 2: Kharé - Cityport of Traps Sorcery! 3 <-- Sorcery! Book 3: The Seven Serpents Sorcery! Part 4 <-- Sorcery! Book 4: The Crown of Kings",7.77143,49
The Pendragon Campaign,"From the author's website: Gamemaster notes, notes on the setting of Britain, a magic system intended for the Gamemaster's use, Chronologies and notes for many main characters, a brief synopsis of the overall story arc ten pages of scenarios, three pages of annotated Bibliography, many coats of arms.",8.04737,19
